Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
Địa chỉ: 122 Đường Thoại Ngọc Hầu,Phường Phú Thọ Hòa,Quận Tân Phú,Thành phố Hồ Chí Minh,311940,Tin VIP 3,Phòng trọ Quận Tân Phú, 5m,1.45
Địa chỉ: 304/18 Đường Nguyễn Thượng Hiền,Phường 5,Quận Phú Nhuận,Thành phố Hồ Chí Minh,593540,Tin VIP 3,Phòng trọ Quận Phú Nhuận, 16m,2.3
,Phường Tân Thới Hòa,Quận Tân Phú,Thành phố Hồ Chí Minh,666939,Tin VIP 3,Phòng trọ Quận Tân Phú, 48m,3.7
Địa chỉ: 588/41 Đường Huỳnh Tấn Phát,Phường Tân Phú,Quận 7,Thành phố Hồ Chí Minh,666891,Tin VIP 3,Phòng trọ Quận 7, 50m,4.6
Địa chỉ: 83/49/4 Đường Trương Đăng Quế,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,666306,Tin VIP 3,Phòng trọ Quận Gò Vấp, 30m,1.65
Địa chỉ: 55 Đường Tây Lân,Phường Bình Trị Đông A,Quận Bình Tân,Thành phố Hồ Chí Minh,666915,Tin VIP 3,Phòng trọ Quận Bình Tân, 20m,2.2
Địa chỉ: Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,666223,Tin VIP 3,Phòng trọ Quận Gò Vấp, 20m,3.3
Địa chỉ: Đường Bình Lợi,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666536,Tin VIP 3,Phòng trọ Quận Bình Thạnh, 25m,4
Địa chỉ: 4 Đường Ký Con,Phường 7,Quận Phú Nhuận,Thành phố Hồ Chí Minh,665004,Tin VIP 2,Phòng trọ Quận Phú Nhuận, 18m,3.2
Địa chỉ: 257 Đường Thành Công,Phường Tân Thành,Quận Tân Phú,Thành phố Hồ Chí Minh,314348,Tin VIP 2,Phòng trọ Quận Tân Phú, 10m,1
Địa chỉ: 140A Đường Huỳnh Văn Bánh,Phường 12,Quận Phú Nhuận,Thành phố Hồ Chí Minh,309515,Tin VIP 2,Phòng trọ Quận Phú Nhuận, 16m,2.7
Địa chỉ: 14/1 Đường số 28,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,661396,Tin VIP 2,Phòng trọ Quận 2, 21m,3.2
Địa chỉ: Đường Lê Hồng Phong,Phường 10,Quận 10,Thành phố Hồ Chí Minh,666624,Tin VIP 2,Cho thuê căn hộ mini Quận 10, 38m,6
Địa chỉ: 1 Đường số 8,Phường Tăng Nhơn Phú B,Quận 9,Thành phố Hồ Chí Minh,665888,Tin VIP 3,Phòng trọ Quận 9, 26m,3.9
Địa chỉ: Đường Hoàng Hoa Thám,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,666691,Tin VIP 2,Phòng trọ Quận Tân Bình, 20m,2.9
,Phường Tăng Nhơn Phú A,Quận 9,Thành phố Hồ Chí Minh,665885,Tin VIP 3,Phòng trọ Quận 9, 20m,2.7
Địa chỉ: 563/15 Đường Nguyễn Đình Chiểu,Phường 2,Quận 3,Thành phố Hồ Chí Minh,666725,Tin VIP 3,Phòng trọ Quận 3, 10m,2
Địa chỉ: 127 Đường Hoàng Hoa Thám,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,666730,Tin VIP 3,Phòng trọ Quận Tân Bình, 25m,4.8
Địa chỉ: 306 Đường Cộng Hòa,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,584932,Tin VIP 3,Phòng trọ Quận Tân Bình, 15m,3
Địa chỉ: 21 Phố Nguyễn Xí,Phường 26,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666733,Tin VIP 3,Phòng trọ Quận Bình Thạnh, 25m,6
Địa chỉ: 1243 Đường Hoàng Sa,Phường 5,Quận Tân Bình,Thành phố Hồ Chí Minh,663534,Tin VIP 3,Phòng trọ Quận Tân Bình, 30m,5.5
Địa chỉ: Đường Nguyễn Sỹ Sách,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,639128,Tin VIP 3,Cho thuê mặt bằng Quận Tân Bình, 70m,6
,Phường 2,Quận Phú Nhuận,Thành phố Hồ Chí Minh,664224,Tin VIP 3,Phòng trọ Quận Phú Nhuận, 28m,6
Địa chỉ: 142 Đường Nguyễn Thị Thập,Phường Bình Thuận,Quận 7,Thành phố Hồ Chí Minh,662273,Tin VIP 3,Phòng trọ Quận 7, 25m,4.2
Địa chỉ: Đường số 3/2,Phường 14,Quận 10,Thành phố Hồ Chí Minh,665991,Tin VIP 3,Cho thuê mặt bằng Quận 10, 192m,48
,,,Không rõ,314932,Tin VIP 3,Phòng trọ Quận 7, 20m,3.3
,,Thành phố Thuận An,"Bình dương Đường Quốc Lộ 13, Phường Bình Hòa, Thành phố Thuận An, Bình Dương",664997,Tin VIP 3,Phòng trọ Thành phố Thuận An, 20m,0.8
Địa chỉ: 168/12 Đường Trường Chinh,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,289887,Tin VIP 3,Phòng trọ Quận Tân Bình, 10m,1.6
,Phường Khuê Trung,Quận Cẩm Lệ,Thành phố Hồ Chí Minh,650023,Tin VIP 3,Phòng trọ Quận Cẩm Lệ, 22m,4
Địa chỉ: Đường Đoàn Văn Bơ,Phường 14,Quận 4,Thành phố Hồ Chí Minh,296466,Tin VIP 3,Phòng trọ Quận 4, 20m,4.2
Địa chỉ: 71 Đường Bạch Đằng,Phường 15,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666786,Tin VIP 3,Phòng trọ Quận Bình Thạnh, 35m,7.5
Địa chỉ: Đường Bùi Đình Túy,Phường 12,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666627,Tin VIP 3,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 23m,5.5
Địa chỉ: 129/12c Đường Lê Đình Cẩn,Phường Tân Tạo,Quận Bình Tân,Thành phố Hồ Chí Minh,205091,Tin VIP 3,Phòng trọ Quận Bình Tân, 25m,2.5
Địa chỉ: 168/21 Đường Bùi Thị Xuân,Phường 3,Quận Tân Bình,Thành phố Hồ Chí Minh,664630,Tin VIP 3,Tìm người ở ghép Quận Tân Bình, 45m,2.5
,Phường 19,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666927,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh, 74m,14
Địa chỉ: 291/3 Đường Trường Chinh,Phường 14,Quận Tân Bình,Thành phố Hồ Chí Minh,632517,Tin miễn phí,Phòng trọ Quận Tân Bình, 16m,2
Địa chỉ: Đường Lê Đức Thọ,Phường 13,Quận Gò Vấp,Thành phố Hồ Chí Minh,664295,Tin thường,Phòng trọ Quận Gò Vấp, 28m,3.8
Địa chỉ: Đường Nguyễn Văn Quá,Phường An Phú Đông,Quận 12,Thành phố Hồ Chí Minh,653861,Tin thường,Phòng trọ Quận 12, 28m,3.8
Địa chỉ: Đường Thạnh Lộc 48,Phường Thạnh Lộc,Quận 12,Thành phố Hồ Chí Minh,648491,Tin thường,Phòng trọ Quận 12, 28m,3.8
Địa chỉ: Đường Bình Giã,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,312073,Tin thường,Phòng trọ Quận Tân Bình, 18m,3.3
,Phường Tân Hưng Thuận,Quận 12,Thành phố Hồ Chí Minh,661169,Tin thường,Phòng trọ Quận 12, 26m,3.8
Địa chỉ: Đường Cao Triều Phát,Phường Tân Phong,Quận 7,Thành phố Hồ Chí Minh,666024,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 50m,11.2
,Phường Phú Thuận,Quận 7,Thành phố Hồ Chí Minh,666203,Tin thường,Cho thuê căn hộ Quận 7, 69m,16.5
,Phường 6,Quận 3,Thành phố Hồ Chí Minh,666928,Tin miễn phí,Cho thuê căn hộ Quận 3, 53m,8
Địa chỉ: Đường số 14,Phường Phú Mỹ,Quận 7,Thành phố Hồ Chí Minh,665404,Tin thường,Cho thuê căn hộ mini Quận 7, 50m,7
Địa chỉ: Đường Hoàng Quốc Việt,Phường Phú Thuận,Quận 7,Thành phố Hồ Chí Minh,665406,Tin thường,Cho thuê mặt bằng Quận 7, 150m,20
,Phường 3,Quận 5,Thành phố Hồ Chí Minh,591474,Tin thường,Phòng trọ Quận 5, 25m,5
,,,Không rõ,636014,Tin thường,Phòng trọ Quận Tân Bình, 22m,3.4
,Phường 14,Quận Tân Bình,Thành phố Hồ Chí Minh,666932,Tin miễn phí,Phòng trọ Quận Tân Bình, 25m,3.8
Địa chỉ: Đường Vũ Huy Tấn,Phường 3,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666930,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh, 50m,7.5
Địa chỉ: Đường Trần Văn Đang,Phường 11,Quận 3,Thành phố Hồ Chí Minh,665570,Tin miễn phí,Cho thuê mặt bằng Quận 3, 60m,65
Địa chỉ: Đường Phổ Quang,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,666931,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 100m,65
Địa chỉ: Đường Hương lộ 2,Phường Bình Trị Đông,Quận Bình Tân,Thành phố Hồ Chí Minh,666693,Tin thường,Phòng trọ Quận Bình Tân, 30m,3.5
Địa chỉ: 83/49/4 Đường Trương Đăng Quế,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,666416,Tin thường,Phòng trọ Quận Gò Vấp, 30m,1.65
Địa chỉ: 80/12/200B Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,638293,Tin thường,Phòng trọ Quận Gò Vấp, 85m,1.55
,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,666935,Tin thường,Cho thuê căn hộ dịch vụ Quận Gò Vấp, 30m,4.6
Địa chỉ: 646 Đường Hà Huy Giáp,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,664906,Tin thường,Phòng trọ Quận 12, 25m,3.2
Địa chỉ: Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,615336,Tin thường,Phòng trọ Quận Gò Vấp, 90m,1.55
,Phường An Phú Đông,Quận 12,Thành phố Hồ Chí Minh,665849,Tin thường,Phòng trọ Quận 12, 30m,3.7
Địa chỉ: Đường Hồ Hảo Hớn,Phường Cô Giang,Quận 1,Thành phố Hồ Chí Minh,666936,Tin miễn phí,Cho thuê nhà Quận 1, 52m,30
Địa chỉ: 100 Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,655536,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 47m,6.7
,Phường 9,Quận Gò Vấp,Thành phố Hồ Chí Minh,666745,Tin thường,Phòng trọ Quận Gò Vấp, 25m,4.2
Địa chỉ: 965 Đường Quang Trung,Phường 14,Quận Gò Vấp,Thành phố Hồ Chí Minh,666844,Tin thường,Phòng trọ Quận Gò Vấp, 30m,3.5
Địa chỉ: 198 Đường số 3,Phường 9,Quận Gò Vấp,Thành phố Hồ Chí Minh,665421,Tin thường,Phòng trọ Quận Gò Vấp, 35m,3
,Phường 10,Quận 6,Thành phố Hồ Chí Minh,666315,Tin thường,Phòng trọ Quận 6, 30m,3
,Phường Hiệp Tân,Quận Tân Phú,Thành phố Hồ Chí Minh,621994,Tin thường,Phòng trọ Quận Tân Phú, 30m,3.6
Địa chỉ: Đường Lê Văn Quới,Phường Bình Hưng Hòa A,Quận Bình Tân,Thành phố Hồ Chí Minh,647314,Tin thường,Phòng trọ Quận Bình Tân, 25m,3.5
Địa chỉ: Đường Tân Hòa Đông,Phường Bình Trị Đông,Quận Bình Tân,Thành phố Hồ Chí Minh,657748,Tin thường,Phòng trọ Quận Bình Tân, 25m,2.8
Địa chỉ: Đường Bình Long,Phường Phú Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,647315,Tin thường,Phòng trọ Quận Tân Phú, 25m,3.5
,Phường An Lạc,Quận Bình Tân,Thành phố Hồ Chí Minh,666937,Tin miễn phí,Phòng trọ Quận Bình Tân, 23m,3.3
,Phường 14,Quận 6,Thành phố Hồ Chí Minh,661527,Tin thường,Phòng trọ Quận 6, 40m,4.5
Địa chỉ: Đường Tân Hòa Đông,Phường Bình Trị Đông,Quận Bình Tân,Thành phố Hồ Chí Minh,647311,Tin thường,Phòng trọ Quận Bình Tân, 30m,3.5
Địa chỉ: Phố Lê Trọng Tấn,Phường Tây Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,628229,Tin thường,Phòng trọ Quận Tân Phú, 30m,3.5
Địa chỉ: Phố số 59,Phường 14,Quận Gò Vấp,Thành phố Hồ Chí Minh,646357,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3
Địa chỉ: 44 Đường Phạm Văn Nghị,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,Thành phố Hồ Chí Minh,664747,Tin VIP 1,Phòng trọ Quận Bắc Từ Liêm, 30m,2.6
Địa chỉ: 449/17 Đường Trường Chinh,Phường 14,Quận Tân Bình,Thành phố Hồ Chí Minh,661397,Tin VIP 1,Phòng trọ Quận Tân Bình, 18m,3.3
Địa chỉ: 50 Đường Phạm Cự Lượng,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,314706,Tin VIP nổi bật,Phòng trọ Quận Tân Bình, 20m,4
Địa chỉ: 43/3 Đường Thành Thái,Phường 14,Quận 10,Thành phố Hồ Chí Minh,612116,Tin VIP nổi bật,Phòng trọ Quận 10, 25m,4.5
Địa chỉ: 69/38/11 Đường Nguyễn Gia Trí,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,582881,Tin VIP nổi bật,Phòng trọ Quận Bình Thạnh, 30m,1.8
Địa chỉ: Đường Xô Viết Nghệ Tĩnh,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666890,Tin VIP 1,Phòng trọ Quận Bình Thạnh, 32m,4.8
Địa chỉ: 346 Đường Phạm Văn Bạch,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,64946,Tin VIP nổi bật,Phòng trọ Quận Tân Bình, 20m,3.2
Địa chỉ: 60 Đường Huỳnh Khương An,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,595846,Tin VIP nổi bật,Phòng trọ Quận Gò Vấp, 30m,1.299
Địa chỉ: 64 Đường Trương Văn Bang,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,4345,Tin VIP nổi bật,Phòng trọ Quận 2, 16m,3
Địa chỉ: 97/15 Đường Ung Văn Khiêm,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,649687,Tin VIP nổi bật,Phòng trọ Quận Bình Thạnh, 30m,4.5
Địa chỉ: Đường số 61,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,315940,Tin VIP nổi bật,Phòng trọ Quận 2, 35m,6.2
,Phường Phú Mỹ,Quận 7,Thành phố Hồ Chí Minh,666751,Tin VIP nổi bật,Phòng trọ Quận 7, 32m,3.9
Địa chỉ: 842/43 Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,666557,Tin VIP nổi bật,Phòng trọ Quận Gò Vấp, 22m,7
Địa chỉ: 139 Đường Ngô Tất Tố,Phường 22,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666613,Tin VIP nổi bật,Phòng trọ Quận Bình Thạnh, 15m,2.8
Địa chỉ: Đường Hoàng Ngân,Phường 16,Quận 8,Thành phố Hồ Chí Minh,20126,Tin VIP nổi bật,Phòng trọ Quận 8, 18m,1.8
,Phường 22,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666724,Tin VIP nổi bật,Cho thuê nhà Quận Bình Thạnh, 30m,6.8
,Phường 3,Quận 11,Thành phố Hồ Chí Minh,666938,Tin miễn phí,Phòng trọ Quận 11, 40m,4.8
Địa chỉ: 55 Đường Tây Lân,Phường Bình Trị Đông A,Quận Bình Tân,Thành phố Hồ Chí Minh,666849,Tin VIP nổi bật,Phòng trọ Quận Bình Tân, 30m,2
Địa chỉ: Đường Trần Não,Phường Bình An,Quận 2,Thành phố Hồ Chí Minh,627963,Tin thường,Cho thuê căn hộ dịch vụ Quận 2, 35m,7
Địa chỉ: 153/5 Đường Nguyễn Thị Minh Khai,Phường Phạm Ngũ Lão,Quận 1,Thành phố Hồ Chí Minh,666748,Tin VIP nổi bật,Cho thuê mặt bằng Quận 1, 38m,6.5
Địa chỉ: 48/13 Đường Lương Thế Vinh,Phường Tân Thới Hòa,Quận Tân Phú,Thành phố Hồ Chí Minh,603145,Tin VIP nổi bật,Phòng trọ Quận Tân Phú, 20m,1.8
Địa chỉ: Đường Nguyễn Thị Định,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,663363,Tin thường,Phòng trọ Quận 2, 25m,3.2
Địa chỉ: 796 Đường Lê Đức Thọ,Phường 15,Quận Gò Vấp,Thành phố Hồ Chí Minh,277630,Tin VIP nổi bật,Phòng trọ Quận Gò Vấp, 30m,3
Địa chỉ: Đường Trương Văn Bang,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,642596,Tin thường,Phòng trọ Quận 2, 35m,4.5
,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,630913,Tin thường,Phòng trọ Quận 2, 35m,4
Địa chỉ: Đường Thạnh Mỹ Lợi,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,666940,Tin thường,Phòng trọ Quận 2, 30m,4
Địa chỉ: Đường Võ Văn Hát,Phường Long Trường,Quận 9,Thành phố Hồ Chí Minh,651614,Tin thường,Phòng trọ Quận 9, 30m,3.8
Địa chỉ: Đường Võ Văn Hát,Phường Long Trường,Quận 9,Thành phố Hồ Chí Minh,649257,Tin thường,Phòng trọ Quận 9, 30m,4
,Phường Long Trường,Quận 9,Thành phố Hồ Chí Minh,665324,Tin thường,Phòng trọ Quận 9, 26m,3.8
Địa chỉ: Đường Đỗ Quang Đẩu,Phường Phạm Ngũ Lão,Quận 1,Thành phố Hồ Chí Minh,666565,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 30m,5.5
Địa chỉ: Đường Nguyễn Trãi,Phường Nguyễn Cư Trinh,Quận 1,Thành phố Hồ Chí Minh,666563,Tin thường,Cho thuê căn hộ dịch vụ Quận 1, 30m,5
Địa chỉ: Đường Nguyễn Trãi,Phường 14,Quận 5,Thành phố Hồ Chí Minh,666567,Tin thường,Cho thuê căn hộ dịch vụ Quận 5, 30m,6.2
Địa chỉ: Đường Lê Hồng Phong,Phường 1,Quận 10,Thành phố Hồ Chí Minh,666561,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 30m,5
Địa chỉ: Đường Nguyễn Văn Cừ,Phường 1,Quận 5,Thành phố Hồ Chí Minh,666564,Tin thường,Cho thuê căn hộ dịch vụ Quận 5, 30m,5.5
,Phường 17,Quận Phú Nhuận,Thành phố Hồ Chí Minh,666941,Tin thường,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 37m,6
Địa chỉ: Đường Lê Văn Sỹ,Phường 14,Quận 3,Thành phố Hồ Chí Minh,666929,Tin miễn phí,Cho thuê căn hộ mini Quận 3, 45m,8.9
Địa chỉ: Đường Lê Văn Việt,Phường Hiệp Phú,Quận 9,Thành phố Hồ Chí Minh,296724,Tin VIP 3,Phòng trọ Quận 9, 20m,3.5
Địa chỉ: S1.07 Đường Nguyễn Xiển,Phường Long Thạnh Mỹ,Quận 9,Thành phố Hồ Chí Minh,663109,Tin VIP 3,Phòng trọ Quận 9, 80m,1.2
Địa chỉ: Đường Nguyễn Văn Đậu,Phường 6,Quận Bình Thạnh,Thành phố Hồ Chí Minh,608241,Tin VIP 3,Phòng trọ Quận Bình Thạnh, 20m,3.8
Địa chỉ: 573 Đường Sư Vạn Hạnh,Phường 12,Quận 10,Thành phố Hồ Chí Minh,599794,Tin VIP 3,Phòng trọ Quận 10, 35m,1.599
Địa chỉ: 332 Đường Phan Văn Trị,Phường 11,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666382,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 30m,6.2
Địa chỉ: Phố Nguyễn Xí,Phường 13,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666631,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 23m,5.7
Địa chỉ: Đường Nguyễn Lâm,Phường 3,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666632,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 22m,5.5
Địa chỉ: Đường Xô Viết Nghệ Tĩnh,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666628,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Bình Thạnh, 35m,7.7
Địa chỉ: Đường Xô Viết Nghệ Tĩnh,Phường 19,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666684,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh, 50m,8
Địa chỉ: Đường Trần Xuân Soạn,Phường Tân Kiểng,Quận 7,Thành phố Hồ Chí Minh,666700,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 40m,12
Địa chỉ: 566 Đường Nguyễn Thái Sơn,Phường 6,Quận Gò Vấp,Thành phố Hồ Chí Minh,666521,Tin miễn phí,Phòng trọ Quận Gò Vấp, 35m,4
Địa chỉ: Đường Nam Kỳ Khởi Nghĩa,Phường 8,Quận 3,Thành phố Hồ Chí Minh,649461,Tin thường,Phòng trọ Quận 3, 32m,1.7
Địa chỉ: 180 Đường Tân Thới Nhất 8,Phường Tân Thới Nhất,Quận 12,Thành phố Hồ Chí Minh,666647,Tin thường,Phòng trọ Quận 12, 20m,2.3
Địa chỉ: Đường Cách Mạng Tháng Tám,Phường Bến Thành,Quận 1,Thành phố Hồ Chí Minh,666523,Tin miễn phí,Cho thuê mặt bằng Quận 1, 80m,100
Địa chỉ: Đường Lã Xuân Oai,Phường Tăng Nhơn Phú A,Quận 9,Thành phố Hồ Chí Minh,646051,Tin thường,Phòng trọ Quận 9, 40m,4.4
Địa chỉ: 148 Đường DX 02,Phường Phú Mỹ,Thành phố Thủ Dầu Một,Không rõ,666576,Tin miễn phí,Cho thuê nhà Thành phố Thủ Dầu Một, 50m,3.6
,Phường 5,Quận 8,Thành phố Hồ Chí Minh,634970,Tin thường,Phòng trọ Quận 8, 20m,4
Địa chỉ: Đường Đoàn Văn Bơ,Phường 14,Quận 4,Thành phố Hồ Chí Minh,666622,Tin miễn phí,Phòng trọ Quận 4, 18m,3.2
Địa chỉ: Đường Cộng Hòa,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,666597,Tin thường,Phòng trọ Quận Tân Bình, 25m,3
,Phường 24,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663884,Tin thường,Phòng trọ Quận Bình Thạnh, 18m,3.5
Địa chỉ: 38/50 Đường Nguyễn Văn Vịnh,Phường Hiệp Tân,Quận Tân Phú,Thành phố Hồ Chí Minh,595734,Tin thường,Phòng trọ Quận Tân Phú, 15m,2
Địa chỉ: Đường Yên Thế,Phường 2,Quận Tân Bình,Thành phố Hồ Chí Minh,666537,Tin miễn phí,Phòng trọ Quận Tân Bình, 30m,6.3
,Phường Trường Thạnh,Quận 9,Thành phố Hồ Chí Minh,666544,Tin miễn phí,Tìm người ở ghép Quận 9, 20m,3.4
Địa chỉ: Đường Đinh Công Tráng,Phường Tân Định,Quận 1,Thành phố Hồ Chí Minh,666545,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,7.5
Địa chỉ: 120/43/10 Đường Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,Thành phố Hồ Chí Minh,593918,Tin thường,Phòng trọ Quận 1, 25m,3.5
Địa chỉ: 41/10 Đường Cô Giang,Phường Cầu Ông Lãnh,Quận 1,Thành phố Hồ Chí Minh,655695,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 40m,8.5
Địa chỉ: 265/39 Đường Phạm Ngũ Lão,Phường Phạm Ngũ Lão,Quận 1,Thành phố Hồ Chí Minh,316022,Tin thường,Phòng trọ Quận 1, 25m,1.3
Địa chỉ: 11 Đường Phạm Công Trứ,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,250582,Tin miễn phí,Phòng trọ Quận 2, 22m,3.2
Địa chỉ: 435 Đường Lê Văn Thọ,Phường 11,Quận Gò Vấp,Thành phố Hồ Chí Minh,653540,Tin miễn phí,Phòng trọ Quận Gò Vấp, 45m,3.6
Địa chỉ: Đường Nguyễn Kiệm,Phường 3,Quận Gò Vấp,Thành phố Hồ Chí Minh,666499,Tin miễn phí,Phòng trọ Quận Gò Vấp, 30m,4.9
Địa chỉ: 31 Đường Đồng Xoài,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,666498,Tin miễn phí,Phòng trọ Quận Tân Bình, 25m,5.2
Địa chỉ: 15A đường Đường số 29,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,666096,Tin thường,Phòng trọ Quận 2, 30m,3
Địa chỉ: 173 Phố Lý Thường Kiệt,Phường 6,Quận Tân Bình,Thành phố Hồ Chí Minh,666501,Tin miễn phí,Phòng trọ Quận Tân Bình, 12m,1.1
Địa chỉ: 57/35 Đường Nguyễn An Ninh,Phường Tương Mai,Quận Hoàng Mai,Thành phố Hồ Chí Minh,315520,Tin thường,Phòng trọ Quận Hoàng Mai, 30m,4
Địa chỉ: 57 Đường Xuân Thới Thượng 31,Xã Xuân Thới Thượng,Huyện Hóc Môn,Thành phố Hồ Chí Minh,656296,Tin miễn phí,Phòng trọ Huyện Hóc Môn, 12m,1.3
,Phường 15,Quận 4,Thành phố Hồ Chí Minh,651392,Tin thường,Phòng trọ Quận 4, 22m,4.5
,Phường 11,Quận Tân Bình,Thành phố Hồ Chí Minh,665174,Tin thường,Phòng trọ Quận Tân Bình, 15m,3.4
Địa chỉ: 216A Đường Lê Văn Thịnh,Phường Cát Lái,Quận 2,Thành phố Hồ Chí Minh,666503,Tin miễn phí,Phòng trọ Quận 2, 32m,5.7
,Phường 13,Quận Phú Nhuận,Thành phố Hồ Chí Minh,597444,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 30m,4
Địa chỉ: 7 Đường Nguyễn Đức Thuận,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,666505,Tin miễn phí,Tìm người ở ghép Quận Tân Bình, 25m,1.6
Địa chỉ: Đường Nguyễn Văn Nghi,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,666500,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,3.9
Địa chỉ: Đường Tây Thạnh,Phường Tây Thạnh,Quận Tân Phú,Thành phố Hồ Chí Minh,666510,Tin miễn phí,Phòng trọ Quận Tân Phú, 4m,1.6
Địa chỉ: Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,666507,Tin miễn phí,Phòng trọ Quận Gò Vấp, 28m,4.9
,Phường Thanh Hải,,Không rõ,666508,Tin miễn phí,Phòng trọ Thành Phố Phan Thiết, 80m,2.8
Địa chỉ: Đường Độc Lập,Phường 7,,Không rõ,666506,Tin miễn phí,Cho thuê căn hộ dịch vụ Thành Phố Tuy Hòa, 36m,10
,Phường 3,Quận Bình Thạnh,Thành phố Hồ Chí Minh,666509,Tin thường,Phòng trọ Quận Bình Thạnh, 40m,5.5
Địa chỉ: 28 Đường Trần Trọng Cung,Phường Tân Thuận Đông,Quận 7,Thành phố Hồ Chí Minh,632489,Tin thường,Phòng trọ Quận 7, 25m,3.8
